iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita,other_renewables_share_elec,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,gdp_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
AUT,Austria,2015,0,,0,,0,,0.156,0.599,7.514,535.51,19.016,2.01,1.237,7.74,891.818,110,4.777,8.076,9.794,2.818,37.714,340.392,4345.388,,,61.85,4.648,2.954,14.268,7.664,37.157,0,3.65,4.648,0,47.582,0.937,4.84,0.99,44369.911,2.711,66.893,6.8,257.596,29680.396,1643.949,23.068,12.391,6.086,20.692,4.571,79.681,883.011,9180.898,,,60.076,-10.181,24.343,-10.626,93.742,4281.238,10800.984,76.932,47.582,5482.433,-4.639,33.107,-6.202,127.49,14689.515,0,,0,0,0,0,0,5.901,-0.418,36.408,-0.589,140.202,420.547,16154.11,,,535.517,7.515,3.239,2.959,0.357,11.393,1312.698,7126.382,8679000,385.086,5482.433,76.932,-4.639,33.107,-6.202,127.49,14689.515,1.515,18.628,0.616,0.372,2.371,107.973,273.146,44267.809,7.826,25.112,3.18,2.458,12.245,557.705,1410.868
AUT,Austria,2016,0,,0,,0,,3.308,12.739,7.326,546.513,-17.052,1.614,-1.32,6.42,733.995,98,3.13,-7.249,8.793,-2.734,34.98,233.523,3999.042,,,65.256,4.78,2.043,14.173,8.488,39.971,0,3.643,4.78,0,51.083,1.096,5.235,1.007,45481.414,2.287,66.232,5.89,263.486,30123.026,1620.364,21.72,13.007,4.695,20.969,3.741,83.422,970.349,9537.209,,,61.253,6.891,25.187,6.46,100.201,4569.72,11455.504,78.28,51.083,5840.009,5.373,33.768,6.85,134.34,15358.388,0,,0,0,0,0,0,5.583,3.483,36.469,4.883,145.085,416.491,16586.774,,,546.515,7.326,3.551,2.965,0.405,11.797,1348.745,7460.373,8747000,397.826,5840.009,78.28,5.373,33.768,6.85,134.34,15358.388,1.68,16.266,0.693,0.386,2.756,125.302,315.109,45278.829,8.022,7.51,3.309,0.92,13.165,598.472,1505.035
AUT,Austria,2017,0,,0,,0,,2.391,9.514,7.298,557.919,-12.709,1.376,-0.816,5.604,635.409,107,2.607,3.638,8.9,1.272,36.252,199.303,4110.208,,,67.43,4.921,1.758,16.375,10.914,38.294,0,3.703,4.921,0,51.055,1.269,6.572,,46183.623,4.028,67.29,10.612,274.098,31076.874,1856.596,24.285,16.186,8.723,22.266,7.277,90.699,1237.41,10283.289,,,56.79,-4.459,23.502,-4.468,95.734,4341.695,10854.156,75.715,51.055,5788.568,-0.818,32.71,-1.098,133.242,15106.749,0,,0,0,0,0,0,5.492,1.422,36.124,2.063,147.147,419.884,16683.376,,,557.929,7.298,4.279,3.02,0.505,12.302,1394.824,7645.163,8820000,407.34,5788.568,75.715,-0.818,32.71,-1.098,133.242,15106.749,1.882,15.099,0.779,0.416,3.172,143.874,359.686,47320.537,9.746,24.796,4.033,3.264,16.429,745.069,1862.675
AUT,Austria,2018,0,,0,,0,,-1.984,-8.084,7.584,554.47,4.456,1.466,0.25,5.854,658.422,102,2.777,-8.369,8.32,-3.034,33.218,203.046,3736.149,,,65.006,4.93,1.805,14.97,9.918,37.638,0,3.247,4.93,0,50.036,1.438,6.03,,44905.628,-1.775,67.434,-4.865,269.233,30281.529,1683.725,23.029,15.257,-4.222,21.758,-3.829,86.869,1115.48,9770.471,,,57.899,-2.286,23.43,-2.189,93.545,4233.259,10521.294,76.971,50.036,5627.715,-2.416,32.566,-3.219,130.023,14624.099,0,,0,0,0,0,0,4.995,1.358,37.356,1.998,149.146,365.199,16774.909,,,554.497,7.584,-1.946,3.021,-0.239,12.063,1356.765,7311.44,8891000,399.256,5627.715,76.971,-2.416,32.566,-3.219,130.023,14624.099,2.212,12.629,0.895,0.401,3.573,161.696,401.877,51234.477,9.277,-8.77,3.754,-1.441,14.988,678.262,1685.741
AUT,Austria,2019,0,,0,,0,,4.35,17.366,6.333,506.569,1.444,1.425,0.085,5.939,663.158,99,2.28,5.232,8.39,1.738,34.956,182.375,3903.517,,,71.626,4.536,1.633,16.498,11.618,41.638,0,3.247,4.537,0,55.128,1.353,7.6,,46523.958,2.592,66.298,6.978,276.211,30844.347,1842.32,23.034,16.22,2.458,21.363,2.135,89.004,1297.357,9939.082,,,58.133,7.821,24.209,7.316,100.861,4649.723,11263.087,76.966,55.128,6156.089,7.989,33.702,10.388,140.411,15679.611,0,,0,0,0,0,0,4.533,2.082,36.544,3.105,152.251,362.588,17001.748,,,506.596,6.334,-1.743,2.845,-0.21,11.853,1323.59,7998.409,8955000,416.622,6156.089,76.966,7.989,33.702,10.388,140.411,15679.611,1.889,-6.333,0.803,-0.226,3.347,151.056,373.735,50195.321,10.611,22.845,4.419,3.424,18.412,848.714,2056.042
AZE,Azerbaijan,2015,,,2.176,4,-1.16,-5.724,9.333,14.597,0.781,18.913,,0,0,0,0,,0,66.667,0.021,0.014,0.036,0,3.724,,,23.3,0.182,0,21.487,10.721,1.621,0,10.766,0.182,0,1.813,0.005,0.005,1.132,17769.834,8.991,97.429,13.743,166.603,17313.041,2232.927,92.219,46.013,13.112,65.185,12.921,111.466,1114.133,11583.25,187.841,19519.97,6.957,25.241,2.423,0.835,4.142,168.451,430.478,7.781,1.813,188.403,24.093,2.571,0.853,4.396,456.793,0,,0,0,0,0,0,46.206,1.488,32.224,0.808,55.102,1118.795,5726.067,487.898,50701.249,18.913,0.781,3.861,0.134,0.009,0.23,23.896,2421.33,9623000,170.999,188.403,7.781,24.093,2.571,0.853,4.396,456.793,0.021,57.676,0.007,0.004,0.012,0.52,1.209,5300.136,0.021,98.809,0.007,0.006,0.012,0.52,1.209
AZE,Azerbaijan,2016,,,-2.697,-5.065,-1.41,-6.877,-0.965,-1.65,0.738,17.872,,0,0,0,0,,0,-60,0.008,-0.022,0.014,0,1.472,,,23.567,0.174,0,21.396,10.676,1.939,0,10.72,0.174,0,2.171,0.035,0.023,1.168,17394.072,-1.529,96.875,-2.547,164.056,16850.443,2197.646,90.788,45.299,-1.937,64.545,-2.159,109.307,1096.529,11227.05,182.776,18773.166,8.228,18.944,2.91,0.785,4.927,199.158,506.084,9.212,2.171,222.987,20.407,3.125,0.897,5.293,543.628,0,,0,0,0,0,0,45.489,-0.666,32.321,-0.367,54.735,1101.117,5621.921,481.021,49406.414,17.872,0.738,-4.583,0.13,-0.011,0.219,22.537,2420.633,9736000,169.349,222.987,9.212,20.407,3.125,0.897,5.293,543.628,0.149,662.85,0.052,0.077,0.089,3.595,9.118,3897.707,0.098,392.718,0.034,0.046,0.057,2.362,5.889
AZE,Azerbaijan,2017,,,-2.839,-5.189,-5.644,-27.15,-1.901,-3.219,0.74,17.268,,0,0,0,0,,0,0,0.009,0,0.014,0,1.456,,,22.961,0.17,0,21.003,10.48,1.729,0,10.524,0.17,0,1.958,0.037,0.022,,16874.53,-1.617,97.155,-2.653,161.403,16394.375,2133.404,91.473,45.641,-2.873,63.906,-3.14,106.166,1064.475,10783.762,177.586,18038.234,7.53,-11.39,2.628,-0.561,4.366,175.622,443.474,8.527,1.958,198.883,-10.687,2.845,-0.566,4.727,480.155,0,,0,0,0,0,0,45.832,0.89,33.24,0.487,55.222,1068.929,5609.157,453.871,46101.632,17.268,0.74,-2.981,0.128,-0.007,0.213,21.623,2332.286,9845000,166.13,198.883,8.527,-10.687,2.845,-0.566,4.727,480.155,0.161,4.763,0.056,0.004,0.093,3.758,9.446,4217.653,0.096,-3.64,0.033,-0.002,0.055,2.235,5.612
AZE,Azerbaijan,2018,,,7.253,12.88,0.279,1.266,2.899,4.817,0.68,16.281,,0,0,0,0,,0,0,0.008,0,0.014,0,1.441,,,23.819,0.162,0,21.786,10.87,1.75,0,10.916,0.162,0,2.033,0.039,0.082,,17180.551,2.879,97.135,4.646,166.049,16688.343,2189.586,91.465,45.637,1.876,63.27,1.992,108.158,1092.507,10870.172,190.466,19142.343,7.347,0.642,2.57,0.028,4.394,175.879,441.611,8.535,2.033,204.322,3.603,2.865,0.17,4.897,492.208,0,,0,0,0,0,0,45.828,4.807,33.856,2.654,57.876,1097.079,5816.73,455.136,45742.33,16.281,0.68,-5.313,0.118,-0.011,0.202,20.258,2393.908,9950000,170.946,204.322,8.535,3.603,2.865,0.17,4.897,492.208,0.164,4.921,0.057,0.005,0.098,3.92,9.807,4759.796,0.344,269.771,0.12,0.149,0.204,8.241,20.533
AZE,Azerbaijan,2019,,,27.677,52.716,-2.74,-12.471,6.551,11.199,0.632,15.459,,0,0,0,0,,0,0,0.008,0,0.014,0,1.426,,,24.596,0.155,0,22.712,11.332,1.549,0,11.38,0.155,0,1.884,0.044,0.135,,18127.566,6.974,97.52,11.58,177.629,17678.026,2260.378,92.341,46.074,9,64.724,9.734,117.892,1127.83,11732.927,243.182,24202.073,6.299,-11.828,2.127,-0.52,3.874,154.195,385.578,7.659,1.884,187.468,-7.769,2.48,-0.38,4.517,449.54,0,,0,0,0,0,0,46.267,3.189,32.788,1.846,59.722,1132.549,5943.673,442.665,44055.031,15.459,0.632,-0.369,0.11,-0.001,0.201,19.986,2447.847,10048000,182.146,187.468,7.659,-7.769,2.48,-0.38,4.517,449.54,0.179,11.153,0.06,0.011,0.108,4.379,10.794,4826.352,0.549,63.197,0.183,0.129,0.333,13.436,33.182
